TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
PREPARED;1091884;49995;Соус Сырный;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1043011;49995;Соус Тар-тар;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1082981;54161;Соус овощной (лук, морковь, томат);Штуки;39.00;;;0.00;0.00;4.03
DISH;1149496;46513;Соусник 30 мл;Штуки;0.00;;;0.00;0.00;0.00
DISH;1149497;46513;Соусник 50 мл;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032013;51052;Средство дезинфицирующее 5 л.;Штуки;0.00;;;0.00;0.00;0.00
DISH;983703;51052;Средство для стекол;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893502;55901;Стакан 250мл;Штуки;0.00;;;0.00;0.00;0.00
GOODS;932927;55901;Стакан 350мл;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893503;55901;Стакан 450мл;Штуки;0.00;;;0.00;0.00;0.00
DISH;1150217;46543;Стакан картонный (S,M,L) 1шт;Штуки;0.00;;;0.00;0.00;9.00
GOODS;893504;55901;Стакан пластик 375мл;Штуки;0.00;;;0.00;0.00;0.00
GOODS;932928;55901;Стакан пластик 650мл;Штуки;0.00;;;0.00;0.00;0.00
DISH;1150218;46543;Стакан пластиковй (M, XL) 1шт;Штуки;0.00;;;0.00;0.00;12.00
GOODS;962351;49993;Стружка кокосовая;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1013673;51053;Сушка д/досок;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962625;49993;Сыр Креметте;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009776;49993;Сыр Моцарелла;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1149489;49993;Сыр Пармезан 45%;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1149490;49993;Сыр Российский 50%;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009779;49993;Сыр Сулугуни;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1156464;54161;Сыр плавленный Янтарь;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1032284;49993;Сыр творожный сливочный 65%;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009751;49993;Сыр чеддер;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1047360;54115;Сэндвич Курица (9 штук) 13 грамм;Штуки;120.00;;;0.00;0.00;90.00
DISH;1047362;54115;Сэндвич с бужениной (9 штук) 13 гр;Штуки;120.00;;;0.00;0.00;90.00
DISH;1030619;48551;Сэндвич с ветчиной;Штуки;117.00;;;0.00;0.00;89.00
DISH;899918;48551;Сэндвич с курицей;Штуки;117.00;;;13.00;21.30;89.00
DISH;961335;46543;Термостакан Роль;Штуки;0.00;;;0.00;0.00;990.00
DISH;1027993;46543;Термостакан Роль Белый;Штуки;0.00;;;0.00;0.00;1190.00
PREPARED;962314;49995;"Тесто ""Бриошь""";Килограммы;1087.00;;;0.00;0.00;0.00
PREPARED;1108153;49995;"Тесто ""Бриошь"" булочки";Килограммы;1087.00;;;0.00;0.00;0.00
PREPARED;1137719;49995;"Тесто ""Сдобное""";Килограммы;1114.00;;;0.00;0.00;0.00
PREPARED;962344;49995;Тесто для Кукис;Килограммы;2217.00;;;0.00;0.00;0.00
GOODS;1014133;49993;Тесто слоеное;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009696;49993;Тимьян;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;899924;46538;Тирамису;Штуки;100.00;;;0.00;0.00;99.00
GOODS;962254;49993;Томат свежий;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009748;49993;Томатная паста;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1072734;49993;Топпинг Грецкий орех с кленовым сиропом;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1047353;54115;Трайфл Апельсин 50 гр;Штуки;51.00;;;0.00;0.00;49.00
DISH;1019311;46538;Трайфл Апельсиновый;Штуки;100.00;;;0.00;0.00;99.00
DISH;1047351;54115;Трайфл Клубника 50 гр;Штуки;51.00;;;0.00;0.00;49.00
DISH;1019310;46538;Трайфл Клубничный;Штуки;100.00;;;0.00;0.00;99.00
GOODS;893505;46514;Трубочка в и/у;Штуки;0.00;;;0.00;0.00;0.00
DISH;1099211;46513;Уголок бумажный (для выпечки) 170/170/60;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962272;49993;Уксус 9%;Литр;0.00;;;0.00;0.00;0.00
DISH;1017629;49993;Уксус бальзамик;Литр;1000.00;;;0.00;0.00;0.00
DISH;1017626;49993;Уксус рисовый;Литр;1000.00;;;0.00;0.00;0.00
DISH;1002744;46513;Упаковка д/сэндвичей НЕПЛАСТИК для 2-х шт.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1020716;46513;Упаковка для сэндвичей картон;Штуки;0.00;;;0.00;0.00;0.00
SERVICE;1014705;53534;Услуги по сбору и обработке отходов жиро-пескоуловителя;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1046391;54161;Фасоль стручковая (зам) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1050784;54161;Филе грудки (зам.кусок) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1038144;51052;Флаг печатный;Штуки;0.00;;;0.00;0.00;0.00
DISH;1119471;44991;Флет Уайт L;Штуки;377.00;;;0.00;0.00;216.00
DISH;1119470;44991;Флет Уайт S;Штуки;206.00;;;0.00;0.00;143.00
DISH;1144569;51053;Форма кольцо d-60 (нерж.сталь);Штуки;0.00;;;0.00;0.00;0.00
DISH;1123380;46510;Фраппучино Земляника M;Штуки;247.00;;;0.00;0.00;229.00
DISH;1123381;46510;Фраппучино Земляника XL;Штуки;387.00;;;0.00;0.00;310.00
DISH;1032008;51052;Халат однораз.;Штуки;0.00;;;0.00;0.00;0.00
PREPARED;1014148;49995;Хлеб Бриошь;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1009747;49993;Хлеб д/сэндвича;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1108158;49995;Хлеб для Булочек;Килограммы;1000.80;;;0.00;0.00;0.00
DISH;1038721;51053;Холодильный шкаф Polair 700 л. б/у;Штуки;0.00;;;0.00;0.00;0.00
PREPARED;963080;49995;Цедра апельсина;Килограммы;15.00;;;0.00;0.00;0.00
DISH;1123383;46511;Чай Брусника Кардамон L;Штуки;0.00;;;0.00;0.00;193.00
DISH;1123382;46510;Чай Клюква Можжевельник L;Штуки;0.00;;;0.00;0.00;193.00
DISH;975345;46543;Чай в асс-те 1 уп (12 шт);Штуки;0.00;;;0.00;0.00;440.00
GOODS;893030;46512;Чай в асс-те 1 шт;Штуки;1000.00;;;0.00;0.00;0.00
DISH;1119479;46509;Чай в ассортименте L;Штуки;0.00;;;0.00;0.00;94.00
DISH;993265;51052;Чековая лента;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962276;49993;Чеснок;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013061;49993;Чеснок сухой;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013056;49993;Четыре перца KOTANYI;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;950528;46538;Чизкейк Классический;Штуки;1372.00;;;28.60;27.50;129.00
DISH;939080;46538;Чизкейк Цитрусовый;Штуки;1387.00;;;5.20;17.70;129.00
DISH;956323;46538;Чизкейк Шоколадный;Штуки;1523.00;;;21.30;26.70;149.00
DISH;1047347;54115;Чизкейк Шоколадный 30 гр;Штуки;32.97;;;0.00;0.00;42.00
DISH;1002814;51052;Чистящее средство 600мл.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009774;49993;Шампиньоны;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1020714;55900;Шампурчики;Штуки;0.00;;;0.00;0.00;0.00
DISH;1038142;51052;Шапка флисовая двухслойная;Штуки;0.00;;;0.00;0.00;0.00
DISH;1009580;51052;Шапочка-Шарлотта 100 шт/уп;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1013058;49993;Шафран;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962353;49993;Шоколад тёмный таблетки;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1020717;51052;Щетка для посуды;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032004;51053;Щипцы универсальные нерж/пластик 9*22,5;Штуки;0.00;;;0.00;0.00;0.00
DISH;935265;48454;Эспрессо 1 порция;Штуки;0.00;;;0.00;0.00;11.00
DISH;935266;48454;Эспрессо 2 порции;Штуки;0.00;;;0.00;0.00;22.00
DISH;1119469;44991;Эспрессо L;Штуки;21.00;;;0.00;0.00;125.00
DISH;1119468;44991;Эспрессо S;Штуки;11.00;;;0.00;0.00;107.00
DISH;1009569;51052;Этикет-лента;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1013067;49993;Яблоки свежие;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1094532;49993;Яичный желток;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962336;49993;Яйцо куриное 1С;Штуки яйцо С1;50.00;;;0.00;0.00;0.00
DISH;1032000;51053;Ящик 600х400х300 мм пласт;Штуки;0.00;;;0.00;0.00;0.00
GROUP;46510;;АВТОРСКИЕ НАПИТКИ;;;;;;;
GROUP;44991;;КОФЕ;;;;;;;
GROUP;46509;;НЕ КОФЕ;;;;;;;
GROUP;46511;;СЕЗОННЫЕ НАПИТКИ;;;;;;;
GROUP;46512;;Ингредиенты кофейни;;;;;;;
GROUP;46514;;Расходные материалы кофейни;;;;;;;
GROUP;55901;;упакова кофейни;;;;;;;
GROUP;48454;;ДОБАВКИ;;;;;;;
GROUP;46538;;ЕДА (СЛАДКАЯ);;;;;;;
GROUP;48551;;ЕДА (СЫТНАЯ);;;;;;;
GROUP;46513;;Упаковка кухня;;;;;;;
GROUP;49993;;Ингредиенты кухня;;;;;;;
GROUP;49995;;Полуфабрикаты кухня;;;;;;;
GROUP;55900;;расходные материалы кухня;;;;;;;
GROUP;51053;;Оборудование, инвентарь;;;;;;;
GROUP;54115;;Кейтеринг;;;;;;;
GROUP;46543;;ПРОЧЕЕ;;;;;;;
GROUP;53534;;Работы/Услуги/Прочее;;;;;;;
GROUP;54161;;Стафф;;;;;;;
GROUP;51052;;Хозтовары;;;;;;;
GROUP;57574;;ЛИМИТИРОВАННЫЕ НАПИТКИ;;;;;;;
