TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
DISH;1097586;54161;Блюдо Макаронные изделия с овощами;Штуки;281.00;;;0.00;0.00;11.71
DISH;1125341;54161;Блюдо Овощное рагу;Штуки;213.00;;;0.00;0.00;14.27
DISH;1091194;54161;Блюдо Омлет с мясным ассорти;Штуки;184.00;;;0.00;0.00;45.58
DISH;1161584;54161;Блюдо Перловка с овощами и мясным ассорти;Штуки;306.00;;;0.00;0.00;30.10
DISH;1068269;54161;Блюдо Плов с куриным филе;Штуки;296.00;;;0.00;0.00;25.15
DISH;1074877;54161;Блюдо Рис отварной;Штуки;238.00;;;0.00;0.00;9.57
DISH;1090663;54161;Блюдо Рис с зел.горошком;Штуки;230.00;;;0.00;0.00;10.23
DISH;1087926;54161;Блюдо Рис с овощами (зел.гор/кукуруза/фасоль);Штуки;257.00;;;0.00;0.00;12.70
DISH;1099231;54161;Блюдо Рис с овощами (кукуруза/морков/лук);Штуки;252.00;;;0.00;0.00;14.51
DISH;1082982;54161;Блюдо Сосиска отварная;Штуки;0.00;;;0.00;0.00;10.55
DISH;1082983;54161;Блюдо котлета жаренная;Штуки;0.00;;;0.00;0.00;19.72
DISH;1043005;48551;Бриошь Пепперони;Штуки;114.00;;;0.00;0.00;119.00
GOODS;1046394;54161;Брокколи (зам) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009763;49993;Булочка д/хотдога;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1020712;51052;Бумага для выпечки;Штуки;0.00;;;0.00;0.00;0.00
DISH;991352;51052;Бумага туалетная;Штуки;0.00;;;0.00;0.00;0.00
DISH;1061297;51053;Бутыль 19F8H (залоговая);Штуки;0.00;;;0.00;0.00;0.00
DISH;989357;51052;Бутыль техническая;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962342;49993;Ванилин;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009777;49993;Ветчина;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1021890;46512;Взбитые сливки (растительные);Килограммы;1000.00;;;0.00;0.00;0.00
DISH;935258;48454;Взбитые сливки 14г;Штуки;1000.00;;;0.00;0.00;13.00
DISH;935259;48454;Взбитые сливки 20г;Штуки;21.00;;;0.00;0.00;19.00
GOODS;976147;46514;Вилка однораз. пласт.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009758;49993;Вишня заморож.;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962260;49993;Вода;Литр;1000.00;;;0.00;0.00;0.00
GOODS;893040;46512;Вода бутылированная;Литр;1000.00;;;0.00;0.00;0.00
